Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
Birkenstock Womens London Clog Black Oiled Leather Size 38 EU (7-7.5 M US Women),577709,482377,$169.95 ,3,$169.95 ,$291.89 ,$169.95 ,A2F3U3NJJC3IJO,1,B00IMOR3V0,0886454411476,0886454411476,B073LCK964,Birkenstock,no
Birkenstock Arizona Unisex Black Birko-Flor Sandal 41 / Unisex US Size 10-10.5,7089771,7248582,,,$131.73 ,$139.95 ,,-,0,B07N15LHCZ,0736399010527,0736399010527,B0CZBZP3FR,Birkenstock,yes
Birkenstock Womens Madrid Birko-Flor Adults Summer Sandals - Gold - 11-11.5,369134,465818,,,$138.83 ,$158.95 ,$162.86 ,A2PM2LFH21HQNQ,2,B081P7MV48,4.04373E+12,4043734691027,B073GX55DY,Birkenstock,no
Birkenstock Womens Madrid Birko-Flor Adults Summer Sandals - Silver - 6-6.5,379829,458735,$93.96 ,1,$93.96 ,$155.00 ,$131.71 ,AB8PP5ABO5Y5C,2,B000KBOPDC,4.04071E+12,4040714146195,B073GX55DY,Birkenstock,no
Birkenstock 1021322140 Oswego Black LTR R 40,1649580,2656238,,,,$150.00 ,$150.00 ,-,,B094W9YYKK,0887759270461,0887759270461,B0CZJNYY64,Birkenstock,no
Birkenstock 1019490340 Buckley Gray Taupe Sd N 40,1013376,1414388,$149.90 ,1,$148.97 ,$278.69 ,$178.66 ,A1QFV54JFUWZAD,4,B08P3RJFQ7,0822698836132,0822698836132,B0BZQS8PKW,Birkenstock,yes
Birkenstock 1021078342 Buckley Night Sd N 42,696052,672095,,,$265.30 ,$267.40 ,$265.63 ,-,2,B094QDNJFZ,0886454954447,0886454954447,B0BZQS8PKW,Birkenstock,yes
Birkenstock 1019490341 Buckley Gray Taupe Sd N 41,675743,658942,$150.00 ,1,$150.00 ,$278.69 ,$166.62 ,A1QFV54JFUWZAD,3,B08P3SCZX7,0822698836262,0822698836262,B0BZQS8PKW,Birkenstock,no
Birkenstock 1019094144 Arizona Khaki Eva 44,1325435,476718,$50.00 ,2,$50.00 ,$105.72 ,$72.17 ,"AB8PP5ABO5Y5C, A3NL09MFMHKJ6C",3,B08P26T78H,0822698710418,0822698710418,,Birkenstock,yes
Birkenstock Madrid Birko-Flor Narrow Graceful Pearl White size EU 36 - US L5,510638,561668,,,$91.80 ,$177.95 ,$137.45 ,-,2,B07CNWKCV6,4.04071E+12,4040714891514,B07HKNK25W,Birkenstock,no
"Birkenstock Professional QO 500 1011244 Black (Unisex Regular Fit) German Cork Footbed Sneakers Grip Sole (Black, 38 (24.5 cm))",864245,1103995,$231.83 ,,$199.75 ,$209.75 ,,-,1,B07BLB5WGV,4.04448E+12,4044477283227,B0CQVQWSKG,Birkenstock,no
"Birkenstock Men's Ankle-Strap Milano Antistatic Birko-Flor Work Shoes Black Size 42-Normal Footbed, 8",574372,633509,,,$106.03 ,$335.98 ,$106.03 ,A35T3I43XUSHP7,2,B00GUCEINW,4.052E+12,4052001199210,B00INUXPD8,Birkenstock,no
"Birkenstock Milano Leather Sandals, Black Matte, 45",473945,649267,,,$186.95 ,$230.95 ,$238.44 ,A3LKHEMJ2S42DV,1,B003AQCSJ2,4.01387E+12,4013871027706,B00INUXPD8,Birkenstock,no
"Birkenstock Arizona Vegan Light Rose Birkibucâ„¢ EU 39 (US Men's 6-6.5, Women's 8-8.5) Narrow",1044908,419994,,,$122.38 ,$199.18 ,$123.00 ,A1C20BH4U0AX41,1,B08P27RN1D,0822698881750,0822698881750,,Birkenstock,yes
Birkenstock 1018523338 Mary- Black LTR N 38,333003,284926,$156.86 ,1,$156.86 ,$308.99 ,$179.00 ,A1C20BH4U0AX41,1,B08P29XSQL,0822698564905,0822698564905,,Birkenstock,yes
Birkenstock 16653337 London Habana Oiled Ltr 37,580044,501155,$199.00 ,3,$199.00 ,$199.00 ,$199.00 ,A1C20BH4U0AX41,1,B00IMORLRQ,0886454411322,0886454411322,B073LCK964,Birkenstock,no
