Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: UPC,Prime Eligible (Buy Box),Parent ASIN,Brand,Product Codes: EAN,PID,Black_list
Brooks Women's Ghost 15 Neutral Running Shoe - Star/Eclipse/Grotto - 11.5 Medium,48,70,,,$209.95 ,$220.00 ,$168.75 ,A2MZQYRHH6G2FX,1,B0BHXSWY2P,1.95394E+11,no,B0CKKBPDKF,Brooks,1.95394E+11,8670717581346169676,V
Brooks Men's Ghost 14 Neutral Running Shoe - Peacoat/India Ink/High Risk Red - 13 Medium,10767,7089,,,$125.89 ,$223.62 ,$125.88 ,AWJMXP5IJRVY4,1,B08QVM7M9V,1.90341E+11,no,B0C699QDPJ,Brooks,1.90341E+11,865853920055352541,V
Brooks Women’s Divide 3 Trail Running Shoe - Ebony/Grey/Pink - 8.5 Medium,230827,222433,$106.67 ,12,$106.67 ,$128.60 ,$111.32 ,-,1,B0BJ4C55ZG,1.95394E+11,no,B0C7F6PC1K,Brooks,1.95394E+11,8655184583021298464,V
Brooks Men's Hyperion Tempo Road Running Shoe - Black/Iced Aqua/Blue - 12.5 Medium,19398,16812,,,$122.34 ,$149.95 ,$131.70 ,A1QH0GIGON2008,3,B0842P6FTR,1.90341E+11,no,B089TMDYL2,Brooks,1.90341E+11,8644881462053869907,V
Brooks Women's Levitate 5 Neutral Running Shoe - Grey/Peacoat/Blue Light - 11.5 Medium,166180,137042,,,$189.98 ,$189.98 ,$189.98 ,A1PF2RJVZ25QD4,1,B09B2Z9L1V,1.95394E+11,yes,B0B41982ZR,Brooks,1.95394E+11,8641255066795961721,V
Brooks Men's Ghost 15 Neutral Running Shoe - Flintstone/Peacoat/Oak - 14 Wide,110,192,,,$197.10 ,$218.00 ,$189.30 ,A1B43WMIJ58I3U,2,B09RRQ5RGW,1.95394E+11,yes,B09RRZXQHS,Brooks,1.95394E+11,8614512297570283247,V
Brooks Men's Ghost 15 Neutral Running Shoe - Black/Phlox/Oriole - 10 Medium,110,195,,,$145.29 ,$236.69 ,$160.24 ,A127T0T42QK19Q,3,B0BHXWYNNJ,1.95394E+11,no,B09RRZXQHS,Brooks,1.95394E+11,8569056695199595565,V
Brooks Men's Ghost 15 Neutral Running Shoe - Black/Blackened Pearl/White - 9 Wide,111,193,,,$140.05 ,$158.98 ,$145.65 ,A2HGWKGRZLYH2G,3,B09RRKV28Q,1.95394E+11,no,B09RRZXQHS,Brooks,1.95394E+11,8545825527037293666,V
Brooks Women's Ariel '20 Running Shoe - Oyster/Alloy/Grape - 11 Medium,11501,10417,,,$220.00 ,$298.68 ,$220.00 ,A1PF2RJVZ25QD4,1,B07X3VNB6V,1.90341E+11,no,B089TLJMC5,Brooks,1.90341E+11,854536041751428611,V
Brooks Men's Ghost 14 GTX Waterproof Neutral Running Shoe - Black/Black/Ebony - 9 Medium,221633,166981,,,$163.16 ,$300.87 ,$133.48 ,A1MLP04OASBI2Z,2,B097F2VYRB,1.90341E+11,no,B09963K6S5,Brooks,1.90341E+11,8528469268233886076,V
