Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Black_list,PID
"Skechers Men's Vigor 3.0 with Goodyear Rubber Outsole Oxford, Navy/Black",204543,216295,,,$64.10,$129.00,$65.26,A1BNXE6U3W2NOH,3,B085Y35QM9,194880383435,194880383435,B082N4Z49Y,Skechers,no,V,11540763918279259132
"Skechers Women's Arch Walk Relaxed Fit Slip On Golf Shoe Sneaker, Mauve, 6",240335,261426,,,,$125.62,$71.85,-,,B09VVB5R8Z,195969292976,195969292976,B0B5Y99HQY,Skechers,no,V,11553532660419591708
"Skechers for Work Men's Delleker Lakehead Work Boot, Brown/Orange, 8 M US",422895,363488,,,$125.99,$138.99,$128.54,A2D3R71ZYX0Y75,2,B01N0WH60D,190872564646,190872564646,B01MS2YR8Y,Skechers,no,V,11586825728806282308
"Skechers mens Slip-on Loafer, Navy, 9 US",311563,369598,$67.51,234,$67.51,$110.39,$63.14,AP3VA1GJZM3EQ,1,B07VB994VF,194428115900,194428115900,B087BXTMTW,Skechers,no,V,11597365370670831328
"Skechers Women's UNO-EVERYWEAR Sneaker, RED, 7.5",580200,405796,$73.99,1,$73.99,$109.32,$104.18,AKO29ZEZHEGNU,1,B09PZF9NNZ,196311154980,196311154980,B0B3LPDWVN,Skechers,no,V,11608470208454570718
Skechers Melson - Chad Grey 7.5 D (M),305001,260937,,,$76.99,$128.51,$78.47,A10RWILGPNWWBU,1,B082WK5NG1,194428387727,194428387727,B0B468NPHJ,Skechers,yes,V,11634106468046573573
"Skechers Men's Trekking Shoes, Black Leather Net Black Trim, 9 US",230209,184847,,,$89.99,$95.68,$100.18,-,2,B09PYBSNNL,196311556159,196311556159,B09PZ8276W,Skechers,no,V,1168078075305955495
"Skechers Women's Boat Shoe, Natural, 9.5",345903,370165,$74.00,1,$65.01,$105.00,$80.11,A3NUFF5GJ37BGU,2,B08DL7ZR3Z,194880749880,194880749880,B0CLS1GVVR,Skechers,no,V,11707776919275915665
Skechers Bobs B Cute - Clean Life Blue 8 B (M),115528,244143,,,$49.95,$140.69,$49.95,A1BNXE6U3W2NOH,1,B09BVCH4D1,195969372661,195969372661,B08PFM8YXK,Skechers,no,V,11708248211793707230
"Skechers Work Amreli, Women's, Pink/White, Soft Toe, Slip Resistant Clog (8.0 M)",268274,288566,$49.99,205,$49.99,$94.48,$49.99,A37LNJJWNJFTQP,1,B09CCK1C1P,195204390948,195204390948,B097C5FJX9,Skechers,no,V,1172455954049858330
