Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),PID,Black_list
Kate Spade Carson Convertible Crossbody Handbag (Dark Water),1730295,1605149,$175.99,1,$175.99,$249.99,$175.99,A1QFMITSVE1WZ,1,B09T7557TQ,196021025471,196021025471,,Kate Spade New York,no,9020180262775621534,V
Kate Spade New York Glitter Stability Ring Resin iPhone 13 PRO Case,176125,162687,,,$48.26,$59.99,$48.83,A15AG8OU2UH84L,1,B0BYBB98LX,196021185915,196021185915,,Kate Spade New York,yes,9019732631047743597,V
"Laura Mercier Women's Matte Caviar Stick Eye Color, Blossom, Pink, 0.05 Ounce",9156,9036,,,$47.34,$57.65,$62.45,A39WWGXFOLEB1L,1,B072KX8J7B,736150157720,736150157720,B079YXZPBQ,Laura Mercier,no,8989541435220683500,V
Kate Spade New York Merigue Zebra Black/Cream 9 M,1261051,1051385,$135.85,1,$135.85,$272.48,$135.85,-,1,B0BCW3BNTY,196021183805,196021183805,B08CY167S5,Kate Spade New York,no,8979821562942615910,V
"Buffalo David Bitton Women's Skinny Jean, Black, 24",5282902,1825217,,,,$89.00,,-,,B089GK41HF,192412551574,192412551574,B0D3M4G4JD,Buffalo David Bitton,no,8966414357303740430,V
"kate spade new york womens female ""Kate Spade Pendants"" ""J"" Pendant Necklace, 18""",152001,172482,,,,$131.02,$116.10,-,,B00JHE0N16,98686491243,98686491243,B00JQ8G9I4,kate spade new york,yes,8962657389819565498,V
"kate spade new york womens female ""Kate Spade Pendants"" ""J"" Pendant Necklace, 18""",152001,172482,,,,$131.02,$116.10,-,,B00JHE0N16,98686491243,98686491243,B00JQ8G9I4,kate spade new york,yes,8962657389819565498,V
"TYR Alliance Podium Parka for Youth - Navy, Large",1626424,1976443,$130.00,1,$124.00,$221.22,$127.73,AJFP1YKE72CZ,2,B07XLVDSHT,36702800396,36702800396,B0D38ZF12L,TYR,no,8952699347069843418,V
"David Bitton Buffalo Boys Reversible Vest (Camo, Small-7/8)",,,$29.99,11,$29.99,$29.99,$29.99,A3KCW0JQJAV742,1,B07KX6K8BP,190177814118,190177814118,,Buffalo David Bitton,no,8938883729057406894,V
TYR SALI1Y1424 Alliance Splice Jammer Black/Green 24,1390998,2262288,$54.61,24,$54.61,$71.99,$46.15,-,2,B000BULPFS,36702005104,36702005104,B0C37LVBVQ,TYR,no,8936144787001099650,V
"TYR Stealth-X Race Mirrored Adult Swim Goggles, Gold/black, one size",113826,90819,$40.14,,$40.14,$53.99,$39.28,-,1,B0BRYMVYH5,194238157718,194238157718,B0CDMSJBX5,TYR,no,8899860696165310849,V
"New Balance Men's Fresh Foam 3000 V6 Turf-Trainer Baseball Shoe, Black/White/Gum, 10.5 Wide",7369,5950,,,,$163.09,$162.62,-,,B09YC42MT7,196432270453,196432270453,B09YC4NTX7,New Balance,yes,8879962696528082355,V
"TYR Tracer x Dome Cap Swimming Equipment, Black, Medium",394753,468400,$33.76,1,$29.77,$63.99,$34.24,A218NCVVSLQN1Q,4,B07BTVQY81,36702721004,36702721004,B07GH87QK4,TYR,no,8873597463939620917,V
TYR TTBJSO7A4478 Sol Twist Bra Jumpsuit Storm 8,7459060,7243919,$25.89,,$19.90,$89.99,,-,1,B0858PSR8K,36702975063,36702975063,B089PSWB47,TYR,no,8797940871750293775,V
TYR SALI1Y40822 Alliance Splice Jammer NVY/White 22,1233351,1693823,$42.77,24,$40.27,$102.81,$42.77,"A218NCVVSLQN1Q, A1MK3EL1DZNNOE",4,B000MFXSE8,36702014212,36702014212,B01LYQVC3M,TYR,no,8794049558057476584,V
Kate Spade New York Heritage Spade Flower Metal Hoops Earrings Gold One Size,2392065,2918571,,,$90.29,$125.34,$92.04,ANZYNJW9IIF9C,1,B08YDW85CJ,767883212288,767883212288,B08Z47FY2P,Kate Spade New York,no,8788390596788448286,V
TYR Durafast Solid Jammer Swimsuit - Navy II - 34,,,$81.03,,$73.08,$115.27,,-,1,B016FOH606,36702157377,36702157377,,TYR,no,8785824700322595310,V
"TYR SPORT Girl's Phoenix Splice Diamondfit Swimsuit, Black/White, 22",1132987,1163073,$37.18,1,$32.23,$122.27,$37.18,A3V1BO3WFJIOCU,1,B00DE2MU2C,36702414708,36702414708,B00E5G5I5W,TYR,no,8782068936901347439,V
"New Balance Men's M840BR5 Running Shoe, Black/Horizon, 8.5 X-Wide",33583,29407,,,$199.17,$201.19,$200.85,A1ZOTV3Y305X94,1,B08PCG2LR2,195481405861,195481405861,B08PDFZSDP,New Balance,no,8727764554739481691,V
Laura Mercier Medium Velour Puff 2-Pack,,,,,$20.00,$31.70,$24.00,A30QID49CEIM2J,2,B0BZJY4Y1K,194250033809,194250033809,,Laura Mercier,no,8714507380092018615,V
Kate Spade New York Hudson Pebbled Leather Medium Crossbody Cordovan One Size,,,$228.00,,$228.00,$228.00,,-,0,B0CBRV267D,196021356469,196021356469,,Kate Spade New York,yes,8709874617739468532,V
Kate Spade Wallets for Women Shimmy Glitter Wallet (Rose Gold),1644593,1478904,$104.30,1,$99.00,$204.24,$103.17,AM9VLOTH8Y9Z3,1,B09NY2SJKW,767883262955,767883262955,,Kate Spade New York,no,8682899158977745858,V
Kate Spade New York Clear Silver Plated Spot The Spade Charm womens Pendant Necklace,593054,610005,$44.90,1,$44.90,$75.00,$32.65,-,2,B07VB12SNZ,98686752009,98686752009,,Kate Spade New York,no,8596787648357311370,V
"Laura Mercier Smoky Eyeliner, Black",581928,639517,$27.06,7,$27.06,$76.69,$27.06,A1PWGTRDJXYSM,1,B078PR72JY,736150160492,736150160492,,Laura Mercier,no,8579149162208314412,V
TYR Latex Swim Cap - Yellow,,,$23.89,2,$15.94,$29.52,$19.27,AF4GO035LHAA2,1,B00QNNEHWA,36702211208,36702211208,,TYR,no,8569187308601810033,V
"TYR Women’s Perseus Cutoutfit Swimsuit, Blue, 26",2027337,1855573,$44.90,1,$39.95,$59.72,$44.90,A3V1BO3WFJIOCU,1,B07BTVR22W,36702708937,36702708937,B07CMR61HG,TYR,no,8552353524833711463,V
Laura Mercier Conditioning Cleansing Oil 5oz (150ml),554870,523650,$29.99,7,$29.99,$59.95,$29.99,A2855E6A88DON,1,B089558SMJ,736150180346,736150180346,,Laura Mercier,no,8538990190972589696,V
"LifeStride Womens Kascade Espadrille Wedge Mary Jane Flat, Black, 10 US",84170,63911,,,$118.93,$155.04,$118.93,-,1,B09NTRXRYT,712015448035,712015448035,B0CSJXZ6XP,LifeStride,yes,8485481312239589410,V
Tory Burch Miller Dark Lotus/Bermuda 8.5 M,,,$231.00,,$231.00,$231.00,,-,0,B09XFGFHBC,196133270790,196133270790,,Tory Burch,yes,8418763236577501568,V
Flawless Fusion Ultra-Longwear Foundation 6W1 Ganache,434743,493889,$24.00,65,$24.00,$24.00,$23.55,AIGMZ9YYRPEQG,3,B07DZJYGYY,736150164360,736150164360,,Laura Mercier,no,8381343511201536992,V
"New Balance Girls 574 V1 Lace-Up Sneaker, Black/Rain Cloud, 7 Big Kid",338764,295662,,,,$152.88,$111.88,-,,B09K4PK3PB,196307295741,196307295741,B0CRDDH3HD,New Balance,no,8370628059569888558,V
"Tory Burch Women's Miller Cloud Sandals, Petunia, Pink, Tan, 8.5 Medium US",42870,63428,,,$248.00,$248.00,$264.25,A22XJXTXTCFKGS,1,B0BB85HF2P,196133603482,196133603482,B08ZHLS235,Tory Burch,no,8360527184405954044,V
"Tory Burch Women's Geo Bombe Miller Low Heel 55mm, Silver, 9.5 Medium US",3290145,3350853,$298.00,1,$298.00,$298.00,$297.30,A33N1BDCZWHQT1,1,B0BW2PNNGT,196133687888,196133687888,B0BFBYR1N3,Tory Burch,no,8341943878352008861,V
Kate Spade New York Tortoise Acetate 40mm Bumper for Apple Watch® (Model: KSS0114),2342702,2242740,,,,$38.00,,-,,B098LLB568,796483546622,796483546622,,Kate Spade New York,yes,8322649425930427346,V
"Kate Spade New York Carson Convertible Crossbody, Black Dot Multi",3519131,3135822,$119.99,1,$115.00,$198.00,$121.61,A3SS984SJJO4J5,3,B0BN2CWNRV,196021189487,196021189487,,Kate Spade New York,no,8296302087681373421,V
"New Balance Men's Fresh Foam More Trail v2, Castlerock/Phantom 10 D (M)",2289051,1785464,,,,$276.46,$276.46,-,,B0BHTG7LL6,196307443258,196307443258,B0CZ3L9KQ7,New Balance,no,826817897495645109,V
"Tory Burch Women's Roxanne Jelly Sandals Ivory Gold Shoes (us_footwear_size_system, adult, women, numeric, medium, numeric_9)",274618,391659,$128.00,2,$128.00,$225.69,$210.10,A33N1BDCZWHQT1,1,B0BR19RSTD,196133575529,196133575529,B0CV6W3ZSY,Tory Burch,no,8249429971461787720,V
5 Tory Burch Eau De Parfum Spray Sample Travel Vial .05 Oz/1.5 Ml Each Lot,216999,233280,$43.99,1,$43.99,$50.95,$42.99,A14AXND9W1JJ5B,3,B00PPSHLUE,707571583771,707571583771,B0CXT2KBVF,Tory Burch,no,8249129942072387373,V
TYR Solid Diamondfit Swimsuit - Black - 28,,,$72.04,,$64.09,$110.17,,-,1,B016FO8X4O,36702434126,36702434126,,TYR,no,8248248804205339048,V
Laura Mercier Silk Crème Oil Free Photo Edition Foundation Chai,430179,548320,$21.50,191,$21.49,$34.00,$21.50,A1STZ8L76D7HDI,2,B07DZMZF99,736150162229,736150162229,,Laura Mercier,no,8241722477839379520,V
"Tory Burch Women's Miller Cloud Sandals, Spark Gold/Natural, 8.5 Medium US",42291,66567,,,$258.00,$418.45,$271.34,A22XJXTXTCFKGS,1,B092ZV9XDD,192485878806,192485878806,B08ZHLS235,Tory Burch,no,8236297452131444890,V
Kate Spade New York RU2754 Spot The Spade Rose Gold Tone Bracelet,2568135,2517462,$69.64,1,$65.00,$83.84,$69.64,AM9VLOTH8Y9Z3,1,B07N8KHCX8,98686728165,98686728165,,Kate Spade New York,no,8232862611029072868,V
"TYR Alliance Drawstring Sackpack, Navy, one Size",767490,733744,$22.44,24,$18.45,$24.99,$22.39,-,3,B0BQX1ZNS1,194238157541,194238157541,B0BQXM5W6G,TYR,no,8231995721539824057,V
"Tory Burch Women's Miller Knotted Sandals Flats (Patchwork, Perfect Navy, 6.5 US)",,,$253.55,,$253.55,$253.56,,-,0,B092ZQM325,192485863581,192485863581,,Tory Burch,yes,8228373697003417206,V
"Tory Burch Women's Geo Bombe Miller Low Heel 55mm, Silver, 8.5 Medium US",3194021,3396455,,,,$315.36,$278.80,-,,B0BW2HYN78,196133687864,196133687864,B0BFBYR1N3,Tory Burch,no,8200149080452585632,V
Kate Spade New York Delina Black 10 M,8489765,7945008,$106.38,,$106.38,$453.67,,-,0,B09B9R99P5,767883231753,767883231753,,Kate Spade New York,yes,8198720489946783171,V
kate spade new york Protective Hardshell Case for iPhone 12 & iPhone 12 Pro - Daisy Iridescent Foil/White/Clear/Gems,113658,77447,,,,$61.92,$39.99,-,,B08HJQLMXY,191058121011,191058121011,,Kate Spade New York,no,8192918583771691477,V
Eyeglasses Kate Spade Adria 0IPR Havana Blue / 00 Demo Lens,7645884,6019633,$103.86,,$103.86,$252.98,,-,0,B07PX37LW9,716736154282,716736154282,,Kate Spade New York,yes,8183373692757416837,V
"Kate Spade New York Women's Kimberlyn/G/S Oval Sunglasses, Havana, 56mm, 19mm",1188064,1332237,$90.50,10,$90.50,$159.00,$89.83,AK5VQ2MDYZK99,1,B08R2PMKYB,716736389516,716736389516,B09VYLQG3P,Kate Spade New York,no,8167144910613226040,V
"Kate Spade 844578 Whitaker Street Creamer, 12 oz, 3.25-inch Height",,,$125.48,,$119.99,$119.99,,-,1,B08DKFSJWB,882864488862,882864488862,,Kate Spade New York,no,81660753847877711,V
Tory Burch Women's Miller Leather Laser Cut T-Strap Thong Sandal Ivory Size 5.5,4677720,5856192,$263.85,1,$248.00,$365.60,$263.85,A22XJXTXTCFKGS,1,B097Q6X6H7,192485935257,192485935257,B0B247DK92,Tory Burch,no,8165316955339299240,V
TYR Durafast Solid Jammer Swimsuit - Navy II - 32,,,$63.48,,$55.53,$110.12,,-,1,B016FODNUI,36702157360,36702157360,,TYR,no,8121254762781614407,V
"Tory Burch Women's Geo Bombe Miller Low Heel 55mm, Silver, 10 Medium US",2619509,2585138,,,,$315.36,$278.80,-,,B0BW2H6LM3,196133687741,196133687741,B0BFBYR1N3,Tory Burch,no,8107510192624139879,V
Kate Spade New York 3/4 Notch PJ Set Doves In Love LG,574845,732295,,,,$88.00,$106.30,-,,B0CKVSCV21,197117434290,197117434290,B0CKW3HTTX,Kate Spade New York,yes,8088840495503016158,V
